x_RecommendationDescription,x_RecommendationSolution,x_RecommendationImpact,x_RecommendationCategory,x_RecommendationProvider,x_RecommendationTypeId,x_RecommendationControl,x_RecommendationMaturityLevel,x_ResourceType,x_RecommendationId,recommendationSource,SourceFile,description,acorlGuid,recommendationTypeId,recommendationControl,recommendationImpact,recommendationResourceType,recommendationMetadataState,remediationAction,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceType,x_RecommendationDetails,x_ResourceGroupName,ResourceCategory,x_RecommendationDate
Dynamically provision volumes,"To reduce management overhead and enable scaling, avoid statically create and assign persistent volumes. Use dynamic provisioning. In your storage classes, define the appropriate reclaim policy to minimize unneeded storage costs once pods are deleted.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.ContainerService/managedClusters,23641583-a8c7-4a5b-aef5-34e9e2e7e7a4,Manual,content/azure-resources/ContainerService/managedClusters/recommendations.yaml,Dynamically provision volumes,23641583-a8c7-4a5b-aef5-34e9e2e7e7a4,,UsageOptimization/OptimizeResources,Medium,Microsoft.ContainerService/managedClusters,Active,"To reduce management overhead and enable scaling, avoid statically create and assign persistent volumes. Use dynamic provisioning. In your storage classes, define the appropriate reclaim policy to minimize unneeded storage costs once pods are deleted.
",Optimize existing resources,False,False,False,,"[{'name': 'Dynamically provision volumes', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#dynamically-provision-volumes'}]",YAML,,,,
Filter at the Source,"Use Data Collection Rules (DCRs) to capture only essential logs and metrics before ingestion. This helps cut costs by stopping unnecessary data from even entering Azure Monitor.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,9e3f8992-d14c-4e27-b729-41af52a9314f,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Filter at the Source,9e3f8992-d14c-4e27-b729-41af52a9314f,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Use Data Collection Rules (DCRs) to capture only essential logs and metrics before ingestion. This helps cut costs by stopping unnecessary data from even entering Azure Monitor.
",Optimize cost,False,False,False,,"[{'name': 'Data collection rules (DCRs) in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/data-collection-rule-overview'}]",YAML,,,,
Optimize Log Diagnostic Settings,"Configure Azure Monitor Diagnostic Settings to collect only critical logs and send them where they're actually useful, like Log Analytics, Event Hubs, or Storage Accounts—instead of just dumping everything in one place.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,1f778b08-747a-4ba7-bc7e-1ae17629b2cd,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Optimize Log Diagnostic Settings,1f778b08-747a-4ba7-bc7e-1ae17629b2cd,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Configure Azure Monitor Diagnostic Settings to collect only critical logs and send them where they're actually useful, like Log Analytics, Event Hubs, or Storage Accounts—instead of just dumping everything in one place.
",Optimize cost,False,False,False,,"[{'name': 'Diagnostic settings in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/diagnostic-settings'}]",YAML,,,,
Adjust Collection Frequency,"Modify performance counter sampling rates to balance detail with cost. Instead of collecting data every few seconds, set reasonable intervals in VM Insights and Container Insights to avoid excessive ingestion costs.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,8525badd-41a9-457d-83c6-a14930e30e2a,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Adjust Collection Frequency,8525badd-41a9-457d-83c6-a14930e30e2a,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Modify performance counter sampling rates to balance detail with cost. Instead of collecting data every few seconds, set reasonable intervals in VM Insights and Container Insights to avoid excessive ingestion costs.
",Optimize cost,False,False,False,,"[{'name': 'Azure Monitor best practices: Configure data collection', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/best-practices-data-collection'}]",YAML,,,,
Leverage VM Insights Wisely,"Enable only the performance metrics you actually need. If availability is your main concern, rely on Log Analytics Agent Heartbeat Logs instead of collecting redundant telemetry data.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,067613a2-e98b-43f6-be3c-55c157fb188a,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Leverage VM Insights Wisely,067613a2-e98b-43f6-be3c-55c157fb188a,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Enable only the performance metrics you actually need. If availability is your main concern, rely on Log Analytics Agent Heartbeat Logs instead of collecting redundant telemetry data.
",Optimize cost,False,False,False,,"[{'name': 'VM Insights Overview', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/vm/vminsights-overview'}]",YAML,,,,
Use Azure Policies for Automation,"Implement Azure Policy definitions to enforce cost-efficient monitoring settings across your subscriptions, making sure unnecessary logs aren't collected in the first place.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,0111448b-8e0c-46a1-b4df-84289f5de528,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Use Azure Policies for Automation,0111448b-8e0c-46a1-b4df-84289f5de528,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Implement Azure Policy definitions to enforce cost-efficient monitoring settings across your subscriptions, making sure unnecessary logs aren't collected in the first place.
",Optimize cost,False,False,False,,"[{'name': 'Azure Policy built-in definitions for Azure Automation', 'url': 'https://learn.microsoft.com/en-us/azure/automation/policy-reference'}]",YAML,,,,
Enable Basic Logs for High-Volume Data,"For logs that don't need real-time access, like Activity Logs and Audit Logs, switch them to Basic Logs instead of paying for full ingestion and indexing.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,43f13045-f11f-4330-8bdd-5843aaac777e,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Enable Basic Logs for High-Volume Data,43f13045-f11f-4330-8bdd-5843aaac777e,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"For logs that don't need real-time access, like Activity Logs and Audit Logs, switch them to Basic Logs instead of paying for full ingestion and indexing.
",Optimize cost,False,False,False,,"[{'name': 'Tables that support the Basic table plan in Azure Monitor Logs', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/basic-logs-azure-tables'}]",YAML,,,,
Set Appropriate Retention Periods,"Configure Azure Log Analytics Workspace retention policies to match your compliance needs. Keep active logs for a practical period (e.g., 30-90 days) and move older ones to cheaper storage.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,6908fe33-29b1-4c1c-a26c-d88fa16a03bb,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Set Appropriate Retention Periods,6908fe33-29b1-4c1c-a26c-d88fa16a03bb,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Configure Azure Log Analytics Workspace retention policies to match your compliance needs. Keep active logs for a practical period (e.g., 30-90 days) and move older ones to cheaper storage.
",Optimize cost,False,False,False,,"[{'name': 'Configure Data Retention', 'url': 'https://learn.microsoft.com/en-us/troubleshoot/azure/azure-monitor/log-analytics/billing/configure-data-retention'}]",YAML,,,,
Automate Data Purging,"Set up Log Analytics Workspace Data Purging Policies to automatically delete old, non-essential logs once they've passed their usefulness, preventing unnecessary storage costs from piling up.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,eda294d5-9358-4542-aecb-2387a092f04c,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Automate Data Purging,eda294d5-9358-4542-aecb-2387a092f04c,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Set up Log Analytics Workspace Data Purging Policies to automatically delete old, non-essential logs once they've passed their usefulness, preventing unnecessary storage costs from piling up.
",Optimize cost,False,False,False,,"[{'name': 'Manage data retention in a Log Analytics workspace', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/data-retention-configure?tabs=portal-3%2Cportal-1%2Cportal-2'}, {'name': 'Workspaces - Update', 'url': 'https://learn.microsoft.com/en-us/rest/api/loganalytics/workspaces/update?view=rest-loganalytics-2023-09-01&tabs=HTTP'}]",YAML,,,,
Move Older Logs to Azure Blob Storage,"Use Azure Monitor Data Export to shift historical logs to Azure Blob Storage or Azure Data Explorer, where they can be stored more affordably without losing accessibility.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.OperationalInsights/Workspaces,ec2d2a09-dbd8-40f9-9a23-ef86631b3a2b,Manual,content/azure-resources/operationalinsights/workspaces/recommendations.yaml,Move Older Logs to Azure Blob Storage,ec2d2a09-dbd8-40f9-9a23-ef86631b3a2b,,UsageOptimization/OptimizeResources,Low,Microsoft.OperationalInsights/Workspaces,Active,"Use Azure Monitor Data Export to shift historical logs to Azure Blob Storage or Azure Data Explorer, where they can be stored more affordably without losing accessibility.
",Optimize cost,False,False,False,,"[{'name': 'Log Analytics workspace data export in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/logs'}]",YAML,,,,
Optimize backup redundancy,"Choose Locally Redundant Storage (LRS) for non-critical backups and use Geo-Redundant Storage (GRS) only for workloads requiring cross-region failover. Implement Read-Access Geo-Redundant Storage (RA-GRS) for read-only disaster recovery scenarios.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,07983135-890e-47c4-bb4d-07962beb405d,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Optimize backup redundancy,07983135-890e-47c4-bb4d-07962beb405d,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Choose Locally Redundant Storage (LRS) for non-critical backups and use Geo-Redundant Storage (GRS) only for workloads requiring cross-region failover. Implement Read-Access Geo-Redundant Storage (RA-GRS) for read-only disaster recovery scenarios.
",Optimize cost,False,False,False,,"[{'name': 'Reliability in Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/reliability/reliability-backup'}]",YAML,,,,
Optimize replication settings,"Enable Cross-Region Replication (CRR) only for critical workloads, and use Zone-Redundant Storage (ZRS) instead of multi-region replication when availability zones are sufficient.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,2966f57a-8add-446f-9c23-72154696049f,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Optimize replication settings,2966f57a-8add-446f-9c23-72154696049f,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Enable Cross-Region Replication (CRR) only for critical workloads, and use Zone-Redundant Storage (ZRS) instead of multi-region replication when availability zones are sufficient.
",Optimize cost,False,False,False,,"[{'name': 'Cross Region Restore (CRR) for Azure Virtual Machines using Azure Backup', 'url': 'https://azure.microsoft.com/en-us/blog/cross-region-restore-crr-for-azure-virtual-machines-using-azure-backup/'}]",YAML,,,,
Reduce backup storage consumption,"Use incremental backups instead of full backups to store only changed data blocks.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,cfac9e44-f215-49db-b54e-4a6990adc868,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Reduce backup storage consumption,cfac9e44-f215-49db-b54e-4a6990adc868,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Use incremental backups instead of full backups to store only changed data blocks.
",Optimize cost,False,False,False,,"[{'name': 'Backup types', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-architecture#backup-types'}]",YAML,,,,
Consider using Azure Policy built-in definitions for Azure Backup,"Configure policies in Azure Backup to apply storage optimization settings automatically across workloads.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,36e19016-bc70-4e40-8ff6-a3988cbeedbb,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Consider using Azure Policy built-in definitions for Azure Backup,36e19016-bc70-4e40-8ff6-a3988cbeedbb,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Configure policies in Azure Backup to apply storage optimization settings automatically across workloads.
",Optimize cost,False,False,False,,"[{'name': 'Azure Policy built-in definitions for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/policy-reference'}]",YAML,,,,
Define data retention policies,"Set organization-wide retention policies based on compliance, business requirements, and industry regulations (e.g., GDPR, HIPAA). Use **Azure Backup policies** to automate enforcement. 
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,16f95f56-bde4-4554-bd0c-bd7cec2f99be,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Define data retention policies,16f95f56-bde4-4554-bd0c-bd7cec2f99be,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Set organization-wide retention policies based on compliance, business requirements, and industry regulations (e.g., GDPR, HIPAA). Use **Azure Backup policies** to automate enforcement. 
",Optimize cost,False,False,False,,"[{'name': 'Backup Policy considerations', 'url': 'https://learn.microsoft.com/en-us/azure/backup/guidance-best-practices#backup-policy-considerations'}]",YAML,,,,
Enable Soft Delete for Protection,"Activate Soft Delete in Azure Backup and Blob Storage to protect against accidental deletions while ensuring automatic cleanup after the retention period.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,071f881c-5f29-438d-84d3-01a94f8de903,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Enable Soft Delete for Protection,071f881c-5f29-438d-84d3-01a94f8de903,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Activate Soft Delete in Azure Backup and Blob Storage to protect against accidental deletions while ensuring automatic cleanup after the retention period.
",Optimize cost,False,False,False,,"[{'name': 'Soft delete for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-azure-security-feature-cloud?tabs=azure-portal'}]",YAML,,,,
Consider Immutable vault for Azure Backup,"For compliance-driven workloads, use Immutable Blob Storage to prevent deletion/modification of critical backup data during the required retention period.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,b3cb065b-e498-4cd7-bae2-82cd73deec00,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Consider Immutable vault for Azure Backup,b3cb065b-e498-4cd7-bae2-82cd73deec00,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"For compliance-driven workloads, use Immutable Blob Storage to prevent deletion/modification of critical backup data during the required retention period.
",Optimize cost,False,False,False,,"[{'name': 'Immutable vault for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-azure-immutable-vault-concept?tabs=recovery-services-vault'}]",YAML,,,,
Adjust backup schedules based on workload,"Reduce backup frequency for less critical workloads by customizing retention policies in Azure Backup.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,ed2fc61f-26b8-4ddc-881a-b749c9516ac1,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Adjust backup schedules based on workload,ed2fc61f-26b8-4ddc-881a-b749c9516ac1,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Reduce backup frequency for less critical workloads by customizing retention policies in Azure Backup.
",Optimize cost,False,False,False,,"[{'name': 'Schedule considerations', 'url': 'https://learn.microsoft.com/en-us/azure/backup/guidance-best-practices#schedule-considerations'}]",YAML,,,,
Consider using differential and log backups,"Instead of frequent full backups, implement transaction log backups for SQL databases and incremental snapshots for virtual machines to save on storage.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,bc5ab84f-4914-42e4-a249-0666faec7a71,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Consider using differential and log backups,bc5ab84f-4914-42e4-a249-0666faec7a71,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,"Instead of frequent full backups, implement transaction log backups for SQL databases and incremental snapshots for virtual machines to save on storage.
",Optimize cost,False,False,False,,"[{'name': 'Transaction log backups (SQL Server)', 'url': 'https://learn.microsoft.com/en-us/sql/relational-databases/backup-restore/transaction-log-backups-sql-server?view=sql-server-ver16'}]",YAML,,,,
Distribute backup workloads,Use Azure Backup's built-in scheduling tools to stagger backup times and avoid peak-hour costs. Set up Azure Automation Runbooks to automate and optimize backup execution,Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.RecoveryServices/vaults,bea81a41-febd-4dd1-bb99-2fe98eb02246,Manual,content/azure-resources/recoveryServicesVault/recommendations.yaml,Distribute backup workloads,bea81a41-febd-4dd1-bb99-2fe98eb02246,,UsageOptimization/OptimizeResources,Low,Microsoft.RecoveryServices/vaults,Active,Use Azure Backup's built-in scheduling tools to stagger backup times and avoid peak-hour costs. Set up Azure Automation Runbooks to automate and optimize backup execution,,,,,,,YAML,,,,
AKS cluster agent pool scale set is not utilizing Spot VMs,"Consider enabling Spot VMs for this AKS cluster to optimize costs, as Spot VMs offer significantly lower pricing compared to regular VMs
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.containerservice/managedclusters,c26abcc2-d5e6-4654-be4a-7d338e5c1e5f,Manual,content/azure-resources/compute/managedClusters/recommendations.yaml,AKS cluster agent pool scale set is not utilizing Spot VMs,c26abcc2-d5e6-4654-be4a-7d338e5c1e5f,,UsageOptimization/OptimizeResources,Medium,Microsoft.containerservice/managedclusters,Active,"Consider enabling Spot VMs for this AKS cluster to optimize costs, as Spot VMs offer significantly lower pricing compared to regular VMs
",Optimize existing resources,True,False,True,,"[{'name': 'xx', 'url': 'https://aka.ms/finops/toolkit'}]",YAML,,,,
Match VM sizes with actual workload requirements to avoid paying for unused capacity.,"Use Microsoft Copilot in Azure to identify the best VM size based on your scenario needs and assess it in the context of your other configuration requirements.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/virtualMachines,ce9ea6b1-e748-4013-aa71-a196b3bdba7a,Manual,content/azure-resources/compute/virtualMachines/recommendations.yaml,Match VM sizes with actual workload requirements to avoid paying for unused capacity.,ce9ea6b1-e748-4013-aa71-a196b3bdba7a,,UsageOptimization/OptimizeResources,Medium,Microsoft.Compute/virtualMachines,Active,"Use Microsoft Copilot in Azure to identify the best VM size based on your scenario needs and assess it in the context of your other configuration requirements.
",Optimize existing resources,False,False,False,,"[{'name': 'Using Microsoft Copilot in Azure to find the best VM size for you', 'url': 'https://techcommunity.microsoft.com/blog/azurecompute/using-microsoft-copilot-in-azure-to-find-the-best-vm-size-for-you/4356049'}, {'name': 'Deploy virtual machines effectively using Microsoft Copilot in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/copilot/deploy-vms-effectively'}]",YAML,,,,
Use Burstable (B-Series) VMs,"Use Burstable VMs for workloads that typically have low CPU usage, offering cost efficiency for intermittent activity.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/virtualMachines,2185ecf8-7084-432a-8d86-729c1155c778,Manual,content/azure-resources/compute/virtualMachines/recommendations.yaml,Use Burstable (B-Series) VMs,2185ecf8-7084-432a-8d86-729c1155c778,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/virtualMachines,Active,"Use Burstable VMs for workloads that typically have low CPU usage, offering cost efficiency for intermittent activity.
",Optimize existing resources,False,False,False,,"[{'name': 'B-Series VM size', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/general-purpose/b-family'}, {'name': 'B-Series CPU Credit Model', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/b-series-cpu-credit-model'}]",YAML,,,,
Use Spot VMs,"Use Spot VMs to take advantage of discounted pricing for interruptible workloads like batch processing, testing, and stateless applications.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/virtualMachines,c4ee932c-d5e5-4759-a275-7c333086f9bd,Manual,content/azure-resources/compute/virtualMachines/recommendations.yaml,Use Spot VMs,c4ee932c-d5e5-4759-a275-7c333086f9bd,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/virtualMachines,Active,"Use Spot VMs to take advantage of discounted pricing for interruptible workloads like batch processing, testing, and stateless applications.
",Optimize existing resources,False,False,False,,"[{'name': 'Use Azure Spot Virtual Machines', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/spot-vms'}, {'name': 'Spot Virtual Machine size recommendation', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/spot-vm-size-recommendation'}]",YAML,,,,
Automatically Start/Stop VMs based on usage patterns,"Use the Start/Stop VMs v2 feature to automatically start and stop Azure VMs based on a custom schedule. This reduces costs by running VMs only when needed. The feature supports multiple subscriptions, provides usage insights via Azure Application Insights, and can send optional notifications through action groups. Configure it in the Azure portal to optimize resource usage and cost efficiency.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/virtualMachines,bcc098d1-9138-4ce2-8c43-e2fdaf28e714,Manual,content/azure-resources/compute/virtualMachines/recommendations.yaml,Automatically Start/Stop VMs based on usage patterns,bcc098d1-9138-4ce2-8c43-e2fdaf28e714,,UsageOptimization/OptimizeResources,Medium,Microsoft.Compute/virtualMachines,Active,"Use the Start/Stop VMs v2 feature to automatically start and stop Azure VMs based on a custom schedule. This reduces costs by running VMs only when needed. The feature supports multiple subscriptions, provides usage insights via Azure Application Insights, and can send optional notifications through action groups. Configure it in the Azure portal to optimize resource usage and cost efficiency.
",Optimize existing resources,False,True,True,,"[{'name': 'Start/Stop VMs', 'url': 'https://learn.microsoft.com/en-us/azure/azure-functions/start-stop-vms/overview'}]",YAML,,,,
Modernize workloads,"Evaluate transitioning applications to Azure App Service or Azure Kubernetes Service (AKS) for scalable and cost-effective alternatives to traditional VMs.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/virtualMachines,b5fc6ddb-e08b-4355-b3a4-15a4e8747aba,Manual,content/azure-resources/compute/virtualMachines/recommendations.yaml,Modernize workloads,b5fc6ddb-e08b-4355-b3a4-15a4e8747aba,,UsageOptimization/OptimizeResources,Medium,Microsoft.Compute/virtualMachines,Active,"Evaluate transitioning applications to Azure App Service or Azure Kubernetes Service (AKS) for scalable and cost-effective alternatives to traditional VMs.
",Optimize existing resources,False,True,True,,"[{'name': 'Assessment overview (migrate to Azure App Service)', 'url': 'https://learn.microsoft.com/en-us/azure/migrate/concepts-azure-webapps-assessment-calculation'}, {'name': 'Migrate to Azure Kubernetes Service (AKS)', 'url': 'https://learn.microsoft.com/en-us/azure/aks/aks-migration'}]",YAML,,,,
Choose the right disk types for your workloads,"Before deploying your environment, understand the available disk types and their features. Use the Azure Pricing Calculator to estimate costs. For instance, Azure Premium SSD v2 allows you to fine-tune performance independently of disk size, helping optimize both cost and efficiency.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,,,Manual,content/azure-resources/compute/disks/recommendations.yaml,Choose the right disk types for your workloads,,,UsageOptimization/OptimizeResources,Low,,Active,"Before deploying your environment, understand the available disk types and their features. Use the Azure Pricing Calculator to estimate costs. For instance, Azure Premium SSD v2 allows you to fine-tune performance independently of disk size, helping optimize both cost and efficiency.
",Optimize cost,False,False,False,,"[{'name': 'Azure managed disk types', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-types'}]",YAML,,,,
Leverage reserved capacity for Premium SSDs,"Prepaying for reserved capacity can significantly reduce the total cost of your environment by offering discounts on Premium SSD storage.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,,,Manual,content/azure-resources/compute/disks/recommendations.yaml,Leverage reserved capacity for Premium SSDs,,,UsageOptimization/OptimizeResources,Low,,Active,"Prepaying for reserved capacity can significantly reduce the total cost of your environment by offering discounts on Premium SSD storage.
",Optimize cost,False,False,False,,"[{'name': 'Reduce costs with Azure Disks Reservation', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-reserved-capacity'}]",YAML,,,,
Dynamically adjust performance for Ultra Disk Storage and Premium SSD v2,"These disk types allow performance adjustments a limited number of times within a 24-hour period. By scaling performance up during high demand (increasing cost) and down when demand decreases (reducing cost), you can optimize both performance and spending.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,,,Manual,content/azure-resources/compute/disks/recommendations.yaml,Dynamically adjust performance for Ultra Disk Storage and Premium SSD v2,,,UsageOptimization/OptimizeResources,Low,,Active,"These disk types allow performance adjustments a limited number of times within a 24-hour period. By scaling performance up during high demand (increasing cost) and down when demand decreases (reducing cost), you can optimize both performance and spending.
",Optimize cost,False,False,False,,"[{'name': 'Using Azure Ultra Disks', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-enable-ultra-ssd?tabs=azure-portal'}, {'name': 'Deploy Premium SSD v2', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-deploy-premium-v2?tabs=azure-cli'}]",YAML,,,,
Resize oversized disks to the minimum required size for the workload to optimize storage allocation,"Managed Disks cannot be shrunk, but they can be expanded if needed. To downsize, you need to create a new smaller disk and migrate data.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,,,Manual,content/azure-resources/compute/disks/recommendations.yaml,Resize oversized disks to the minimum required size for the workload to optimize storage allocation,,,UsageOptimization/OptimizeResources,Low,,Active,"Managed Disks cannot be shrunk, but they can be expanded if needed. To downsize, you need to create a new smaller disk and migrate data.
",Optimize cost,False,False,False,,"[{'name': 'Decrease the size of an Azure data disk without losing data', 'url': 'https://learn.microsoft.com/en-us/troubleshoot/azure/virtual-machines/windows/downsize-data-disk-without-losing-data?tabs=windows'}]",YAML,,,,
Consider using Ephemeral OS Disks for stateless workloads where OS persistence isn’t required,"Ephemeral OS Disks offer temporary storage at no cost, ideal for auto-scaling environments (e.g., VM Scale Sets), dev/test workloads and stateless applications.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,,,Manual,content/azure-resources/compute/disks/recommendations.yaml,Consider using Ephemeral OS Disks for stateless workloads where OS persistence isn’t required,,,UsageOptimization/OptimizeResources,Low,,Active,"Ephemeral OS Disks offer temporary storage at no cost, ideal for auto-scaling environments (e.g., VM Scale Sets), dev/test workloads and stateless applications.
",Optimize cost,False,False,False,,"[{'name': 'Ephemeral OS disks for Azure VMs', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/ephemeral-os-disks'}]",YAML,,,,
